МНА №1. Сигнал ВВ включен в УСО.1(6) недостоверен;Красный;;1
МНА №1. Сигнал ВВ отключен в УСО.1(6) недостоверен;Красный;;1
МНА №1. Сигнал ВВ включен в УСО.1(1) недостоверен;Красный;;1
МНА №1. Сигнал ВВ отключен в УСО.1(1) недостоверен;Красный;;1
МНА №1. Значение силы тока недостоверно;Красный;;1
МНА №1. Ток двигателя набран;Зеленый;;9
МНА №1. Ток двигателя сброшен;Зеленый;;9
МНА №1. Цепи отключения УСО.1(1) исправны;Зеленый;;9
МНА №1. Цепи включения УСО.1(6) исправны;Зеленый;;9
МНА №1. Цепи отключения УСО.1(6) исправны;Зеленый;;9
МНА №1. Цепи отключения УСО.1(1) неисправны;Красный;;1
МНА №1. Цепи включения УСО.1(6) неисправны;Красный;param_alarm.wav;700
МНА №1. Цепи отключения УСО.1(6) неисправны;Красный;;1
МНА №1. ВВ включен;Зеленый;;9
МНА №1. ВВ включен по неустановленной причине;Красный;;1
МНА №1. Не получено состояние "в работе" за заданное время;Красный;;1
МНА №1. Команда - отключить ВВ автоматически;Желтый;;2
МНА №1. ВВ отключен;Желтый;;2
МНА №1. Команда на отключение ВВ в ячейку ЗРУ доставлена;Зеленый;;9
МНА №1. ВВ отключился по неустановленной причине;Красный;;1
МНА №1. Процесс запуска отмен;Зеленый;;9
МНА №1. ВВ не отключился;Красный;;1
МНА №1. Идет программный пуск;Зеленый;;9
МНА №1. Программный пуск завершен;Зеленый;;9
МНА №1. В работе;Зеленый;;9
МНА №1. Идет программная остановка;Зеленый;;9
МНА №1. Программная остановка завершена;Зеленый;;9
МНА №1. Остановлен;Желтый;;2
МНА №1. Пуск невозможен. агрегат не готов к пуску;Желтый;;2
МНА №1. Пуск невозможен. режим ОСН не выбран;Желтый;;2
МНА №1. Пуск невозможен. режим ТМ не выбран;Желтый;;2
МНА №1. Пуск невозможен. программа пуска уже начата;Желтый;;2
МНА №1. Начало нестационарного режима;Желтый;;2
МНА №1. Нестационарный режим двигателя закончен;Зеленый;;9
МНА №1. Нестационарный режим насоса закончен;Зеленый;;9
МНА №1. Назначена программа пуска №1;Зеленый;;9
МНА №1. Назначена программа пуска №2;Зеленый;;9
МНА №1. Назначение невозможно. Идет программа пуска;Желтый;;2
МНА №1. Изменение программы пуска невозможно. Резервный режим;Желтый;;2
МНА №1. Назначение невозможно. Идет программа остановки;Желтый;;2
МНА №1. Назначение не требуется. Программа уже назначена;Желтый;;2
МНА №1. Назначен режим основной;Зеленый;;9
МНА №1. Назначен режим телемеханический;Зеленый;;9
МНА №1. Назначен режим резервный;Зеленый;;9
