;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Снят режим "Маскирование"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Сигнал достоверен; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Сигнал установлен; Красный param_alarm.wav
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Сигнал снят; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Сигнал достоверен; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Сигнал достоверен режим Имитации; Зеленый 
;МНА №1. Аварийные утечки дизтоплива через торцевое уплотнение. Значение сработки параметра. Уставка изменена; ;цвет 4; 
;МНА №1. Электрическая защита. Принята команда "Установить режим "Маскирование"; Зеленый 
;МНА №1. Электрическая защита. Принята команда "Снять режим "Маскирование"; Зеленый 
;МНА №1. Электрическая защита. Принята команда "Установить режим "Имитация логического "0"; Зеленый 
;МНА №1. Электрическая защита. Принята команда "Снять режим "Имитация логического "0"; Зеленый 
;МНА №1. Электрическая защита. Принята команда "Установить режим "Имитация логического "1"; Зеленый 
;МНА №1. Электрическая защита. Принята команда "Снять режим "Имитация логического "1"; Зеленый 
;МНА №1. Электрическая защита. Принята команда "Установить значение 1 на канале - Одномоментная команда"; Зеленый 
;МНА №1. Электрическая защита. Установлено значение 1 на канале - Одномоментная команда; Зеленый 
;МНА №1. Электрическая защита. Установлен режим "Маскирование"; Зеленый 
;МНА №1. Электрическая защита. Снят режим "Маскирование"; Зеленый 
;МНА №1. Электрическая защита. Установлен режим "Имитация логического "0"; Зеленый 
;МНА №1. Электрическая защита. Снят режим "Имитация логического "0"; Зеленый 
;МНА №1. Электрическая защита. Установлен режим "Имитация логической "1"; Зеленый 
;МНА №1. Электрическая защита. Снят режим "Имитация логической "1"; Зеленый 
;МНА №1. Электрическая защита. Сигнал недостоверен; Красный nsp.wav
;МНА №1. Электрическая защита. Сигнал достоверен; Зеленый 
;МНА №1. Электрическая защита. Обрыв. Сигнал установлен; Красный nsp.wav
;МНА №1. Электрическая защита. Обрыв. Сигнал снят; Зеленый 
;МНА №1. Электрическая защита. Короткое замыкание. Сигнал установлен; Красный nsp.wav
;МНА №1. Электрическая защита. Короткое замыкание. Сигнал снят; Зеленый 
;МНА №1. Электрическая защита. Сигнал недостоверен (аппаратная ошибка); Красный nsp.wav
;МНА №1. Электрическая защита. Сигнал установлен; Красный param_alarm.wav
;МНА №1. Электрическая защита. Сигнал снят; Зеленый 
;МНА №1. Электрическая защита. Сигнал достоверен; Зеленый 
;МНА №1. Электрическая защита. Сигнал достоверен режим Имитации; Зеленый 
